"","cost","Year","Service"
"219",995.110665722296,2011,"SOPC"
"220",1047.91302474758,2012,"SOPC"
"221",1100,2013,"SOPC"
"222",1162.5955890825,2014,"SOPC"
"223",1233.6815938806,2015,"SOPC"
"224",1280.32553910657,2016,"SOPC"
"225",65.6517079881631,1961,"Psychiatry"
"226",76.4222976874628,1962,"Psychiatry"
"227",91.7193723048786,1963,"Psychiatry"
"228",80.3972902728646,1964,"Psychiatry"
"229",73.8791100004109,1965,"Psychiatry"
"230",69.2907078623514,1966,"Psychiatry"
"231",64.7623330662608,1967,"Psychiatry"
"232",60.1590324358343,1968,"Psychiatry"
"233",56.4532638998158,1969,"Psychiatry"
"234",55.3179456246019,1970,"Psychiatry"
"235",62.0539150411366,1971,"Psychiatry"
"236",74.681230673808,1972,"Psychiatry"
"237",95.5044212630772,1973,"Psychiatry"
"238",84.1513736834604,1974,"Psychiatry"
"239",76.8873229436925,1975,"Psychiatry"
"240",97.7017293044446,1976,"Psychiatry"
"241",86.8517132136978,1977,"Psychiatry"
"242",101.371808133097,1978,"Psychiatry"
"243",133.14787368308,1979,"Psychiatry"
"244",169.595435188595,1980,"Psychiatry"
"245",204.533658908955,1981,"Psychiatry"
"246",220.296733374179,1982,"Psychiatry"
"247",244.148537413757,1983,"Psychiatry"
"248",294.342766194578,1984,"Psychiatry"
"249",276.835478597081,1985,"Psychiatry"
"250",318.641897037957,1986,"Psychiatry"
"251",392.413663073323,1987,"Psychiatry"
"252",447.446737150936,1988,"Psychiatry"
"253",514.241702693239,1989,"Psychiatry"
"254",573.915823681321,1990,"Psychiatry"
"255",661.632283315614,1991,"Psychiatry"
"256",772.112934102941,1992,"Psychiatry"
"257",890.292352034101,1993,"Psychiatry"
"258",1003.37373513721,1994,"Psychiatry"
"259",1069.69769681888,1995,"Psychiatry"
"260",1180.56390855582,1996,"Psychiatry"
"261",1312.09534241351,1997,"Psychiatry"
"262",1249.84391114889,1998,"Psychiatry"
"263",1228.64802861299,1999,"Psychiatry"
"264",1277.41420376192,2000,"Psychiatry"
"265",1261.68779558148,2001,"Psychiatry"
"266",1238.91313317145,2002,"Psychiatry"
"267",1200,2003,"Psychiatry"
"268",1257.60309326144,2004,"Psychiatry"
"269",1348.56841940899,2005,"Psychiatry"
"270",1435.35418700869,2006,"Psychiatry"
"271",1575.95624709569,2007,"Psychiatry"
"272",1550.04626214202,2008,"Psychiatry"
"273",1506.00759219894,2009,"Psychiatry"
"274",1612.10808279662,2010,"Psychiatry"
"275",1755.23926158712,2011,"Psychiatry"
"276",1848.24915707707,2012,"Psychiatry"
"277",1940,2013,"Psychiatry"
"278",2050.37775647901,2014,"Psychiatry"
"279",2175.78740916994,2015,"Psychiatry"
"280",2258.11051615072,2016,"Psychiatry"
"281",678.613511747395,1961,"ICU"
"282",798.659699401783,1962,"ICU"
"283",961.040999885699,1963,"ICU"
"284",1076.45660169708,1964,"ICU"
"285",1260.44762757323,1965,"ICU"
"286",1101.76876291115,1966,"ICU"
"287",994.79967222538,1967,"ICU"
"288",910.398019219115,1968,"ICU"
"289",853.909424343633,1969,"ICU"
"290",786.143069644831,1970,"ICU"
"291",759.170341274987,1971,"ICU"
"292",905.167054057037,1972,"ICU"
"293",1160.22927163721,1973,"ICU"
"294",1061.0448169363,1974,"ICU"
"295",1014.13045828315,1975,"ICU"
"296",1289.73913497988,1976,"ICU"
"297",1175.5182869022,1977,"ICU"
"298",1375.39752237766,1978,"ICU"
"299",1806.55403073396,1979,"ICU"
"300",2299.34034852778,1980,"ICU"
"301",2298.20615000375,1981,"ICU"
"302",2593.37775790715,1982,"ICU"
"303",2872.67597874037,1983,"ICU"
"304",3463.80445678961,1984,"ICU"
"305",3162.70107173613,1985,"ICU"
"306",3644.60558710903,1986,"ICU"
"307",4488.65341903242,1987,"ICU"
